Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,50,0,850,854.9668639968149,590.3290999121964,1277.166199986823,365.6,0.8390160750269731,0.0,850,920,940,970,1100,1200,1300,1300,1300,1300,1300
GET,/beneficiaries,300,0,23,44.83013000145244,7.376600056886673,1011.5455000195652,375.5933333333333,5.034096450161838,0.0,23,32,40,46,69,110,440,690,1000,1000,1000
GET,/kyc/me/status,299,0,23,42.78262508534717,7.57710007019341,779.3598999269307,132.0,5.0173161286612995,0.0,23,32,44,52,80,110,200,520,780,780,780
GET,/limits/me,339,0,32,56.376654571979955,10.052099940367043,942.0303999213502,223.91445427728613,5.688528988682878,0.0,32,51,64,74,99,140,260,570,940,940,940
POST,/remittances [POST],461,0,66,105.68176225356055,25.872400030493736,1370.295799919404,694.587852494577,7.735728211748692,0.0,66,89,110,120,180,320,560,860,1400,1400,1400
GET,/users/me,453,0,20,39.70092913869843,5.863600061275065,1199.5940000051633,210.56291390728478,7.601485639744376,0.0,20,28,34,40,58,79,220,750,1200,1200,1200
GET,/wallet/me,316,0,33,62.655043672944146,10.629699914716184,1129.3944999342784,190.0,5.30258159417047,0.0,33,49,63,71,110,200,380,590,1100,1100,1100
,Aggregated,2218,0,35,78.72131654646918,5.863600061275065,1370.295799919404,325.5018034265104,37.21875308819653,0.0,35,51,65,78,120,290,790,930,1300,1400,1400
